id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
chef_knife_20_mm,0.162852198747056,0.169981218470342,0.0168310566806162,0.00666183276640616,3.01544224334954E-07,1.85090252805171E-05,0.00115688240441056,0.00117402827097048,-2.116977214307E-05,-3.85847792656136E-10,1.0142382289853E-09,1.81154774499836E-05,0.00115727595223045,0.00117402827098113,-2.41334645040792E-05,-1.3198257179026E-06,-0.0185879422924211
component_name,mass,mass_density
BLADE,0.144278119304082,8000
HANDLE_LH,0.00609712537799797,336
HANDLE_RH,0.00609712537782699,336
ROD,0.00450294947014518,8000
ROD:1,0.00450294947014518,8000
ROD:2,0.00450294947014518,8000
